;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
algorithmes bn:00002705n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
fondamentaux bn:00008838n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
interaction bn:00036845n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
unique bn:00112899a;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
barre de défilement bn:00257291n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
existants bn:00102613a;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
an bn:00081857n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
bytecode bn:03791673n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
structure de classe bn:00019550n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
java native interface bn:01619475n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
tutoriel bn:00112194a;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
interface de programmation bn:02130401n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
interfaçage bn:04713937n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
programme c bn:00014402n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
wall bn:03172609n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
illustrer bn:00087826v;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
procedure bn:16903850n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
descripteur bn:14042302n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
structure de donnée bn:00025330n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
scanf bn:03106902n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
allocation bn:00002912n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
mémoire dynamique bn:03517836n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
edition bn:00065108n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
java platform, micro edition bn:03173415n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
décembre 2006 bn:03315076n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
produit logiciel bn:00072649n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
java runtime environment bn:15385568n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
runtime bn:00068562n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
java development kit bn:01837373n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
imprécis bn:00107686a;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
kit de développement bn:00899006n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
application mobiles bn:02709719n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
pda bn:00059484n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
java card bn:01342111n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
carte à puce bn:00072293n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
javafx bn:00234554n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
encyclopédie bn:00024746n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
java 2 bn:04756808n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
plateforme java bn:16564242n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
